"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
26,32,4.39817702037171,0.641540053682754,3.2316150438843,3.39875061107463,3.95016839183817,4.36702391051764,4.81224195634084,5.50388111619836,5.7417315480026
27,33,4.29539026763445,0.607459917217404,3.18812144920857,3.34737466231773,3.87157354888983,4.26678851964208,4.68804224689969,5.34097903772658,5.5651590545511
28,34,3.8708199416584,0.552974277379772,2.86365390200515,3.00832988293917,3.48490133786187,3.84451991623113,4.22808206438806,4.82303116488185,5.02740799921596
29,35,3.84809222067715,0.528576117558777,2.88248513462892,3.02185097809426,3.4796262553807,3.82391762957189,4.19021660721353,4.75680316184901,4.9510485125776
30,36,4.5282855965285,0.549135288748532,3.51639095170109,3.66444979085828,4.14680617284815,4.50610756631171,4.8855965743781,5.46777836075552,5.6661925991599
31,37,4.20415187423022,0.506120409881341,3.27108110073775,3.40770778942704,3.8526220661288,4.18385949696069,4.53356800926947,5.06982022447312,5.25252131258975
32,38,4.39407718124579,0.494372307235476,3.47883228434013,3.61373360861593,4.05130088477783,4.37555074302082,4.71666336022237,5.23762019412144,5.41458937274893
33,39,4.20431048024882,0.461483028631411,3.34870982924972,3.47510735520082,3.88453302814698,4.1874378074615,4.50569982217993,4.99107135551962,5.15578247060297
34,40,3.86623230884821,0.421840528799543,3.08385830499267,3.19950077934221,3.57396715500734,3.85090098765216,4.14178908530457,4.58526353686902,4.73571977751306
35,41,3.58976901306398,0.387094747838459,2.87135184825002,2.97765292750946,3.32165322631689,3.57586480790388,3.84273162202437,4.24931641161883,4.38719096484129
36,42,3.51653068451071,0.364647245287493,2.83829411126686,2.93899230960643,3.26419703051594,3.50393469469164,3.75513660360865,4.13703747206839,4.26633946106036
37,43,3.048813376881,0.323173571602889,2.44844749177206,2.53741541244547,2.82506347315712,3.0374022344213,3.26012699395425,3.59913800873404,3.71401859479605
38,44,3.17018222459397,0.313894814047004,2.58490474232328,2.67213476561136,2.95319863069357,3.15982819245014,3.37588122610096,3.70354998342612,3.81429349947967
39,45,2.85560451830454,0.28414326962447,2.32593677973229,2.40484720426388,2.65916524434853,2.84618563051157,3.04177841321603,3.33849212747199,3.43879229604503
40,46,2.29734442577268,0.243518022096347,1.84495621794145,1.9119954005236,2.12874420970662,2.28874589208733,2.45657364063848,2.7120255062678,2.7985904223169
41,47,2.1060397878373,0.223239771031658,1.69132288489814,1.75277957562253,1.95147926165339,2.09815727189617,2.25200965553821,2.48618951418595,2.56554599003039
42,48,1.91771459276265,0.204429062471302,1.53806318066307,1.59429570072735,1.77615866079858,1.91045543427941,2.05135924834368,2.2658965649227,2.33861325315958
43,49,1.81582778765993,0.191405054920999,1.46013997300962,1.51287480495569,1.683325640094,1.80910694571101,1.94100529045549,2.14170746774914,2.20970420639861
44,50,1.76643790257895,0.182194158291675,1.42746163361167,1.47781249690121,1.64037636418711,1.76017790265035,1.88567696380073,2.07641789050761,2.14098443218508
45,51,1.53253707083799,0.164305220374901,1.22749936915999,1.27265763606152,1.41874915237441,1.52666929761093,1.6399301114696,1.81243318348384,1.87091597819657
46,52,1.57880134871547,0.161981600602491,1.27734457153225,1.32214235680825,1.46673878401762,1.5732651636867,1.68483027174239,1.85434578012184,1.9117156063661
47,53,1.70380281988584,0.163948502784522,1.39766247709133,1.44339354856602,1.59054337167133,1.69854706437397,1.8113340817629,1.98214079123012,2.03980768022544
48,54,1.77742260575557,0.163625013613728,1.47121967108026,1.51711486952876,1.66449449688529,1.77240416726543,1.88488107549229,2.05484942447554,2.11214184810302
49,55,1.72030741920103,0.157700322560806,1.42513205841804,1.46938825008717,1.61147802368717,1.7154910379249,1.82388739060307,1.98765639971855,2.04285096135353
50,56,1.88072917799077,0.161867395224102,1.57686884287753,1.62263312810559,1.76916876387151,1.87608744617885,1.98723040078021,2.15465918701895,2.21096561582665
51,57,1.81764409846899,0.156437896060057,1.52397611514593,1.56820533429076,1.70982574231244,1.813158063726,1.9205729631606,2.08238570514495,2.13680345397656
52,58,1.81177796950153,0.153673001676926,1.52311340358567,1.56663253261293,1.70589594771257,1.80743503537167,1.91292644643843,2.07173808512067,2.12512082183748
53,59,1.72972222196394,0.147780142605774,1.45221587147671,1.49403212180392,1.62788580231969,1.72551547734915,1.82697354679797,1.97976243705869,2.03113294373406
54,60,1.77289377607788,0.147230814364096,1.49607599187975,1.53786831826537,1.67149245427775,1.7688198280402,1.86985470084373,2.02181632197618,2.07286144787113
55,61,1.60922265890194,0.137989704590475,1.35014329272521,1.38917305177751,1.5141259672167,1.60528020892878,1.70002232626849,1.84272081856963,1.89070455536052
56,62,1.54468748985172,0.132945531628681,1.29511978823664,1.33270708134671,1.45306027522171,1.54087512540019,1.6321594706249,1.76967270462509,1.81591851034519
57,63,1.39330953430057,0.124125878835198,1.1606640513099,1.19561775439393,1.30770096519393,1.38962526883847,1.47490253964797,1.60356918138349,1.64689028766071
58,64,1.42114705754364,0.123229078175596,1.18989673309215,1.22470724496257,1.33620378388378,1.41758687680595,1.50220997174177,1.62973142978334,1.67262766751445
59,65,1.41529723309376,0.120917002903899,1.18823535863591,1.22245034566386,1.33197240722256,1.41185518098964,1.49487043230723,1.61988570405874,1.66191819634975
60,66,1.37003413033221,0.117049915058265,1.1502339990026,1.18335474487921,1.28937414409174,1.36670215966856,1.44706247196465,1.56807958773893,1.60876782458069
61,67,1.2219046471716,0.108855917833882,1.01787920285245,1.0485329026821,1.14682764105491,1.21867361990973,1.29346008403347,1.40629816028443,1.4442899056774
62,68,1.23447571992569,0.107856644434863,1.03214250954172,1.06258395671296,1.16011746999418,1.23133598523299,1.30541187784524,1.41707781522501,1.45465005727977
63,69,1.21139659470711,0.105438539819664,1.01356551307629,1.04333753255195,1.13871101994606,1.20833888952347,1.28074947933494,1.3898861649537,1.42660269425282
64,70,1.17358082956118,0.102536233160723,0.981228421929787,1.01016823682256,1.10289056386313,1.17059597341068,1.24101781006503,1.34717542929449,1.38289428733874
65,71,1.13965730207018,0.0999545576042467,0.952180683828827,0.980379326406661,1.07074152938767,1.1367364396593,1.20538954270746,1.30889899090977,1.34373132210628
66,72,1.09211033040678,0.0969091210687043,0.910443176018265,0.937745387803507,1.0252783613313,1.08924524044167,1.1558195688867,1.25624874314405,1.29005792966108
67,73,0.989188920550259,0.0914505480555085,0.818086188374364,0.843723766828433,0.926067340143964,0.986372150344188,1.04924048423593,1.1442627483107,1.17629739075862
68,74,0.966343275680544,0.0897227206863094,0.798508146615939,0.823648028153501,0.904408630402382,0.96356785022404,1.02525297144524,1.11850616407595,1.14994919465124
69,75,0.921293591071315,0.087054061659012,0.758590292903894,0.782929058567225,0.86117844523198,0.918553101357178,0.978421885849143,1.06900660518596,1.09956910288389
70,76,0.895423879648088,0.08537531707616,0.73592952999865,0.759771720360453,0.836456456305407,0.892711940574951,0.951435580568622,1.04032713510488,1.07032817853081
71,77,0.863898422276816,0.0835162127643977,0.707985605242255,0.731267280241565,0.806197571026124,0.861208645516508,0.918667723380199,1.00570507146764,1.03509520687061
72,78,0.76254205842432,0.0782351644497805,0.616942061574636,0.638578852944874,0.708417187789688,0.759868147655821,0.8137527527167,0.895626703989721,0.923335639905778
73,79,0.639918253247581,0.0715450357152258,0.507415376637299,0.526956909884822,0.59031978203093,0.637253911271827,0.686613112918443,0.761968487920819,0.787559961983734
74,80,0.583312723490965,0.0682715903314818,0.457224060307683,0.47573865795345,0.53592885241128,0.580651368073737,0.627796320482903,0.699965548666117,0.724523017653303
75,81,0.600212521889677,0.0693065722167979,0.472105223559385,0.49094093280149,0.552126930217892,0.597547028695442,0.645393304987851,0.718576968721521,0.743465032429174
76,82,0.578766534129638,0.0682082901678171,0.452849168093651,0.471326088703714,0.53141818667105,0.576089275959467,0.623197290314412,0.69533999772455,0.719895852466976
77,83,0.591331257149761,0.0692100887097381,0.463509310688039,0.482278420053546,0.543296021630668,0.588633317294834,0.63642634983754,0.709587655446826,0.734482704746799
78,84,0.540608780545739,0.0665443408338939,0.418106791709764,0.436003588355888,0.494362690965851,0.537880898238084,0.583882199625603,0.654519747559146,0.67861011350412
79,85,0.556857894664029,0.0680310195765264,0.431557219673766,0.449877113620511,0.509588077955514,0.554089921105664,0.601111335764535,0.673281204954123,0.69788575065223
80,86,0.617677855316942,0.0722937247839404,0.484160837912064,0.503766199676594,0.567502423363472,0.614859709509129,0.664782147200589,0.741203134243874,0.767207375477011
81,87,0.665343172079363,0.0758228914336483,0.52507842659955,0.545727615642883,0.612753995466402,0.662465125789718,0.714795877577372,0.794776655861206,0.821960919206865
82,88,0.65479426751019,0.0761182874610483,0.514154336007661,0.534819309804301,0.601973605956797,0.651847117430358,0.704403189435237,0.784822914907148,0.812179734410946
83,89,0.644802638037692,0.0765239943978143,0.50359620993976,0.524302277252074,0.591672133495772,0.641777935263562,0.694636932511767,0.775621276568355,0.80319512604272
84,90,0.65351242861438,0.0781096751235507,0.509444998565246,0.530555637591563,0.599270972806343,0.650403112892559,0.704365482497442,0.787076151643775,0.815246635477019
85,91,0.643619172090386,0.0786305966313476,0.498796017974459,0.519970244088109,0.588984478775757,0.64041993424699,0.694767523215842,0.778181823170589,0.806619881575831
86,92,0.573528209607772,0.0753079433480198,0.435504015024491,0.455528552571631,0.521099091627655,0.570235459404813,0.622369279122412,0.702760727966602,0.730260727108203
87,93,0.539470577793971,0.074101982799505,0.404100481975237,0.423638416044228,0.487814708912298,0.536081500847891,0.58743357605333,0.666864306522079,0.694095891832918
88,94,0.5027920004039,0.0725717741948955,0.37071913010532,0.389666602746902,0.452128812368697,0.499304732766225,0.549655503751094,0.627814055835635,0.654677464521465
89,95,0.409527959205551,0.0664342075351055,0.289806357800733,0.306713899919884,0.362979648065576,0.405941264735399,0.452168764121599,0.524578213500072,0.549625600372395
90,96,0.421343415745915,0.0683509276863921,0.298167678068972,0.315563026513973,0.37345212048254,0.417653240105106,0.465214467745237,0.539713031390542,0.565483070536995
91,97,0.433679042268701,0.0703520305514567,0.306897101575717,0.324801731793335,0.384385638630104,0.429880829746793,0.478834502407324,0.555514152604048,0.582038658455115
92,98,0.340982608729488,0.0633188808405157,0.228361404582981,0.243931635834462,0.29641270678126,0.337071378385395,0.381292276533005,0.451377510563328,0.475821194147179
93,99,0.303291631084937,0.0606583262169873,0.196274352257296,0.21087413193073,0.260479492823914,0.2992574686304,0.341710218434559,0.409472857689669,0.433222949816467
