"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
25,31,3.58068176249549,0.643109429414766,2.43289953438803,2.59247270988292,3.12852928387085,3.54225427711474,3.99097558369563,4.69999220806869,4.94675406013022
26,32,3.57289666965871,0.612746723706851,2.47433480832533,2.62819301190886,3.14277240298746,3.53792997980862,3.96492948169155,4.6368929199963,4.87009662734064
27,33,2.85010438396376,0.520355487447106,1.922953459457,2.05150316206935,2.48404726499357,2.81849987459192,3.18173593245206,3.75652994461994,3.95678447235699
28,34,2.22935151678551,0.437211803336422,1.45628642657195,1.56213632833382,1.92099377170546,2.20083614759561,2.50665241126088,2.99385447257787,3.16438713295211
29,35,1.93852533394283,0.387705066788566,1.25451138527272,1.34782765208066,1.66488634719475,1.91274049414562,2.1840824058776,2.61719555318391,2.76899715452246
30,36,1.47998549769893,0.322959312887726,0.916134349343863,0.99173297860979,1.25128932936753,1.45656111224944,1.68317519479967,2.04816030560454,2.17687387349536
31,37,1.03255847087431,0.258139617718577,0.590196382618301,0.647669508577357,0.848766504006842,1.01112833575291,1.19302393401222,1.49057106166968,1.59660766043982
32,38,0.715705401915891,0.206606353228304,0.369815425024809,0.412974691665539,0.56771101970904,0.695925878345873,0.842180984566168,1.08593469206936,1.17387844039057
33,39,0.612694642738014,0.184734385547531,0.305854958129211,0.343610701565843,0.480119202369918,0.594231502069181,0.725187190163275,0.944787350424955,1.024333874999
34,40,0.368303089644911,0.139205483185309,0.148076943893892,0.172855988540531,0.267422605837889,0.35092113448099,0.450301394903829,0.623084415369122,0.687120661661584
35,41,0.352124392926911,0.133090510606314,0.141572268713195,0.165262827654524,0.255675353759282,0.335505986559808,0.430520703661555,0.595713768558398,0.656937051732023
36,42,0.340826745479453,0.128820401242592,0.137030028492448,0.159960493591577,0.247472201504573,0.324741528235414,0.416707769293758,0.57660073841349,0.635859718395501
37,43,0.190842544423289,0.0954212722116445,0.0519981702454216,0.0651879198320216,0.120961740041701,0.175196354146898,0.243774035451808,0.369931885093731,0.418292175070851
38,44,0.189257204083716,0.094628602041858,0.0515662183600432,0.0646463999142546,0.119956903690287,0.173740987638269,0.241748990075736,0.3668588389755,0.414817397154473
